Entry,Entry name,Protein names (Simplified),Gene names (primary),Gene names (synonyms),Kinase group,"Length
(AA)",Mass,"Protein names 
(Including synonyms)"
Q9UEW8,STK39_HUMAN,STE20/SPS1-related proline-alanine-rich protein kinase ,STK39,SPAK,STE,545,"59,474",STE20/SPS1-related proline-alanine-rich protein kinase (Ste-20-related kinase) (EC 2.7.11.1) (DCHT) (Serine/threonine-protein kinase 39)
Q13043,STK4_HUMAN,Serine/threonine-protein kinase 4 ,STK4,KRS2 MST1,STE,487,"55,630",Serine/threonine-protein kinase 4 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 1) (MST-1) (STE20-like kinase MST1) (Serine/threonine-protein kinase Krs-2) [Cleaved into: Serine/threonine-protein kinase 4 37kDa subunit (MST1/N); Serine/threonine-protein kinase 4 18kDa subunit (MST1/C)]
Q8N2I9,STK40_HUMAN,Serine/threonine-protein kinase 40 ,STK40,SGK495 SHIK,CAMK,435,"49,001",Serine/threonine-protein kinase 40 (EC 2.7.11.1) (SINK-homologous serine/threonine-protein kinase) (Sugen kinase 495) (SgK495)
Q6J9G0,STYK1_HUMAN,Tyrosine-protein kinase STYK1 ,STYK1,NOK,TK,422,"47,577",Tyrosine-protein kinase STYK1 (EC 2.7.10.2) (Novel oncogene with kinase domain) (Protein PK-unique) (Serine/threonine/tyrosine kinase 1)
P43405,KSYK_HUMAN,Tyrosine-protein kinase SYK ,SYK,,TK,635,"72,066",Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)
P21675,TAF1_HUMAN,Transcription initiation factor TFIID subunit 1 ,TAF1,BA2R CCG1 CCGS TAF2A,Atypical,1872,"212,677",Transcription initiation factor TFIID subunit 1 (EC 2.3.1.48) (EC 2.7.11.1) (Cell cycle gene 1 protein) (TBP-associated factor 250 kDa) (p250) (Transcription initiation factor TFIID 250 kDa subunit) (TAF(II)250) (TAFII-250) (TAFII250)
Q7L7X3,TAOK1_HUMAN,Serine/threonine-protein kinase TAO1 ,TAOK1,KIAA1361 MAP3K16 MARKK,STE,1001,"116,070",Serine/threonine-protein kinase TAO1 (EC 2.7.11.1) (Kinase from chicken homolog B) (hKFC-B) (MARK Kinase) (MARKK) (Prostate-derived sterile 20-like kinase 2) (PSK-2) (PSK2) (Prostate-derived STE20-like kinase 2) (Thousand and one amino acid protein kinase 1) (TAOK1) (hTAOK1)
Q9UL54,TAOK2_HUMAN,Serine/threonine-protein kinase TAO2 ,TAOK2,KIAA0881 MAP3K17 PSK PSK1,STE,1235,"138,251",Serine/threonine-protein kinase TAO2 (EC 2.7.11.1) (Kinase from chicken homolog C) (hKFC-C) (Prostate-derived sterile 20-like kinase 1) (PSK-1) (PSK1) (Prostate-derived STE20-like kinase 1) (Thousand and one amino acid protein kinase 2)
Q9H2K8,TAOK3_HUMAN,Serine/threonine-protein kinase TAO3 ,TAOK3,DPK JIK KDS MAP3K18,STE,898,"105,406",Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Cutaneous T-cell lymphoma-associated antigen HD-CL-09) (CTCL-associated antigen HD-CL-09) (Dendritic cell-derived protein kinase) (JNK/SAPK-inhibitory kinase) (Jun kinase-inhibitory kinase) (Kinase from chicken homolog A) (hKFC-A) (Thousand and one amino acid protein 3)
Q9UHD2,TBK1_HUMAN,Serine/threonine-protein kinase TBK1 ,TBK1,NAK,Other,729,"83,642",Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1)
P42680,TEC_HUMAN,Tyrosine-protein kinase Tec ,TEC,PSCTK4,TK,631,"73,581",Tyrosine-protein kinase Tec (EC 2.7.10.2)
Q02763,TIE2_HUMAN,Angiopoietin-1 receptor ,TEK,TIE2 VMCM VMCM1,TK,1124,"125,830",Angiopoietin-1 receptor (EC 2.7.10.1) (Endothelial tyrosine kinase) (Tunica interna endothelial cell kinase) (Tyrosine kinase with Ig and EGF homology domains-2) (Tyrosine-protein kinase receptor TEK) (Tyrosine-protein kinase receptor TIE-2) (hTIE2) (p140 TEK) (CD antigen CD202b)
Q15569,TESK1_HUMAN,Dual specificity testis-specific protein kinase 1 ,TESK1,,TKL,626,"67,684",Dual specificity testis-specific protein kinase 1 (EC 2.7.12.1) (Testicular protein kinase 1)
Q96S53,TESK2_HUMAN,Dual specificity testis-specific protein kinase 2 ,TESK2,,TKL,571,"63,639",Dual specificity testis-specific protein kinase 2 (EC 2.7.12.1) (Testicular protein kinase 2)
P36897,TGFR1_HUMAN,TGF-beta receptor type-1 ,TGFBR1,ALK5 SKR4,TKL,503,"55,960",TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)
P37173,TGFR2_HUMAN,TGF-beta receptor type-2 ,TGFBR2,,TKL,567,"64,568",TGF-beta receptor type-2 (TGFR-2) (EC 2.7.11.30) (TGF-beta type II receptor) (Transforming growth factor-beta receptor type II) (TGF-beta receptor type II) (TbetaR-II)
P35590,TIE1_HUMAN,Tyrosine-protein kinase receptor Tie-1 ,TIE1,TIE,TK,1138,"125,090",Tyrosine-protein kinase receptor Tie-1 (EC 2.7.10.1)
P04183,KITH_HUMAN,"Thymidine kinase, cytosolic ",TK1,,,234,"25,469","Thymidine kinase, cytosolic (EC 2.7.1.21)"
O00142,KITM_HUMAN,"Thymidine kinase 2, mitochondrial ",TK2,,,265,"31,005","Thymidine kinase 2, mitochondrial (EC 2.7.1.21) (Mt-TK)"
Q3LXA3,TKFC_HUMAN,Triokinase/FMN cyclase ,TKFC,DAK,,575,"58,947",Triokinase/FMN cyclase (Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing)) [Includes: ATP-dependent dihydroxyacetone kinase (DHA kinase) (EC 2.7.1.28) (EC 2.7.1.29) (Glycerone kinase) (Triokinase) (Triose kinase); FAD-AMP lyase (cyclizing) (EC 4.6.1.15) (FAD-AMP lyase (cyclic FMN forming)) (FMN cyclase)]
Q9UKI8,TLK1_HUMAN,Serine/threonine-protein kinase tousled-like 1 ,TLK1,KIAA0137,Other,766,"86,700",Serine/threonine-protein kinase tousled-like 1 (EC 2.7.11.1) (PKU-beta) (Tousled-like kinase 1)
Q86UE8,TLK2_HUMAN,Serine/threonine-protein kinase tousled-like 2 ,TLK2,,Other,772,"87,661",Serine/threonine-protein kinase tousled-like 2 (EC 2.7.11.1) (HsHPK) (PKU-alpha) (Tousled-like kinase 2)
Q9UKE5,TNIK_HUMAN,TRAF2 and NCK-interacting protein kinase ,TNIK,KIAA0551,STE,1360,"154,943",TRAF2 and NCK-interacting protein kinase (EC 2.7.11.1)
Q13470,TNK1_HUMAN,Non-receptor tyrosine-protein kinase TNK1 ,TNK1,,TK,666,"72,468",Non-receptor tyrosine-protein kinase TNK1 (EC 2.7.10.2) (CD38 negative kinase 1)
Q07912,ACK1_HUMAN,Activated CDC42 kinase 1 ,TNK2,ACK1,TK,1038,"114,569",Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2)
Q59H18,TNI3K_HUMAN,Serine/threonine-protein kinase TNNI3K ,TNNI3K,CARK,TKL,835,"92,851",Serine/threonine-protein kinase TNNI3K (EC 2.7.11.1) (Cardiac ankyrin repeat kinase) (Cardiac troponin I-interacting kinase) (TNNI3-interacting kinase)
Q96S44,PRPK_HUMAN,EKC/KEOPS complex subunit TP53RK ,TP53RK,C20orf64 PRPK,Other,253,"28,160",EKC/KEOPS complex subunit TP53RK (EC 3.6.-.-) (Atypical serine/threonine protein kinase TP53RK) (Nori-2) (TP53-regulating kinase) (EC 2.7.11.1) (p53-related protein kinase)
Q9H3S4,TPK1_HUMAN,Thiamin pyrophosphokinase 1 ,TPK1,,,243,"27,265",Thiamin pyrophosphokinase 1 (hTPK1) (EC 2.7.6.2) (Placental protein 20) (PP20) (Thiamine pyrophosphokinase 1)
O75962,TRIO_HUMAN,Triple functional domain protein ,TRIO,,CAMK,3097,"346,900",Triple functional domain protein (EC 2.7.11.1) (PTPRF-interacting protein)
Q9BX84,TRPM6_HUMAN,Transient receptor potential cation channel subfamily M member 6 ,TRPM6,CHAK2,Atypical,2022,"231,708",Transient receptor potential cation channel subfamily M member 6 (EC 2.7.11.1) (Channel kinase 2) (Melastatin-related TRP cation channel 6)
Q96QT4,TRPM7_HUMAN,Transient receptor potential cation channel subfamily M member 7 ,TRPM7,CHAK1 LTRPC7,Atypical,1865,"212,697",Transient receptor potential cation channel subfamily M member 7 (EC 2.7.11.1) (Channel-kinase 1) (Long transient receptor potential channel 7) (LTrpC-7) (LTrpC7)
Q9BXA7,TSSK1_HUMAN,Testis-specific serine/threonine-protein kinase 1 ,TSSK1B,SPOGA1 SPOGA4 STK22A STK22D TSSK1,CAMK,367,"41,618",Testis-specific serine/threonine-protein kinase 1 (TSK-1) (TSK1) (TSSK-1) (Testis-specific kinase 1) (EC 2.7.11.1) (Serine/threonine-protein kinase 22A)
Q96PF2,TSSK2_HUMAN,Testis-specific serine/threonine-protein kinase 2 ,TSSK2,DGSG SPOGA2 STK22B,CAMK,358,"40,939",Testis-specific serine/threonine-protein kinase 2 (TSK-2) (TSK2) (TSSK-2) (Testis-specific kinase 2) (EC 2.7.11.1) (DiGeorge syndrome protein G) (DGS-G) (Serine/threonine-protein kinase 22B)
Q96PN8,TSSK3_HUMAN,Testis-specific serine/threonine-protein kinase 3 ,TSSK3,SPOGA3 STK22C,CAMK,268,"30,102",Testis-specific serine/threonine-protein kinase 3 (TSK-3) (TSSK-3) (Testis-specific kinase 3) (EC 2.7.11.1) (Serine/threonine-protein kinase 22C)
Q6SA08,TSSK4_HUMAN,Testis-specific serine/threonine-protein kinase 4 ,TSSK4,C14orf20 STK22E TSSK5,CAMK,328,"37,454",Testis-specific serine/threonine-protein kinase 4 (TSK-4) (TSSK-4) (Testis-specific kinase 4) (EC 2.7.11.1) (Serine/threonine-protein kinase 22E)
Q9BXA6,TSSK6_HUMAN,Testis-specific serine/threonine-protein kinase 6 ,TSSK6,SSTK,CAMK,273,"30,331",Testis-specific serine/threonine-protein kinase 6 (TSK-6) (TSSK-6) (Testis-specific kinase 6) (EC 2.7.11.1) (Cancer/testis antigen 72) (CT72) (Serine/threonine-protein kinase SSTK) (Small serine/threonine kinase)
Q5TCY1,TTBK1_HUMAN,Tau-tubulin kinase 1 ,TTBK1,BDTK KIAA1855,CK1,1321,"142,737",Tau-tubulin kinase 1 (EC 2.7.11.1) (Brain-derived tau kinase)
Q6IQ55,TTBK2_HUMAN,Tau-tubulin kinase 2 ,TTBK2,KIAA0847,CK1,1244,"137,412",Tau-tubulin kinase 2 (EC 2.7.11.1)
P33981,TTK_HUMAN,Dual specificity protein kinase TTK ,TTK,MPS1 MPS1L1,Other,857,"97,072",Dual specificity protein kinase TTK (EC 2.7.12.1) (Phosphotyrosine picked threonine-protein kinase) (PYT)
Q8WZ42,TITIN_HUMAN,Titin ,TTN,,CAMK,34350,"3,816,030",Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)
P42681,TXK_HUMAN,Tyrosine-protein kinase TXK ,TXK,PTK4 RLK,TK,527,"61,258",Tyrosine-protein kinase TXK (EC 2.7.10.2) (Protein-tyrosine kinase 4) (Resting lymphocyte kinase)
P29597,TYK2_HUMAN,Non-receptor tyrosine-protein kinase TYK2 ,TYK2,,TK,1187,"133,650",Non-receptor tyrosine-protein kinase TYK2 (EC 2.7.10.2)
Q06418,TYRO3_HUMAN,Tyrosine-protein kinase receptor TYRO3 ,TYRO3,BYK DTK RSE SKY TIF,TK,890,"96,905",Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Tyrosine-protein kinase BYK) (Tyrosine-protein kinase DTK) (Tyrosine-protein kinase RSE) (Tyrosine-protein kinase SKY) (Tyrosine-protein kinase TIF)
Q9HA47,UCK1_HUMAN,Uridine-cytidine kinase 1 ,UCK1,URK1,,277,"31,435",Uridine-cytidine kinase 1 (UCK 1) (EC 2.7.1.48) (Cytidine monophosphokinase 1) (Uridine monophosphokinase 1)
Q9BZX2,UCK2_HUMAN,Uridine-cytidine kinase 2 ,UCK2,UMPK,,261,"29,299",Uridine-cytidine kinase 2 (UCK 2) (EC 2.7.1.48) (Cytidine monophosphokinase 2) (Testis-specific protein TSA903) (Uridine monophosphokinase 2)
Q9NWZ5,UCKL1_HUMAN,Uridine-cytidine kinase-like 1 ,UCKL1,URKL1,,548,"61,141",Uridine-cytidine kinase-like 1 (EC 2.7.1.48)
Q8TAS1,UHMK1_HUMAN,Serine/threonine-protein kinase Kist ,UHMK1,KIS KIST,Other,419,"46,546",Serine/threonine-protein kinase Kist (EC 2.7.11.1) (Kinase interacting with stathmin) (PAM COOH-terminal interactor protein 2) (P-CIP2) (U2AF homology motif kinase 1)
O75385,ULK1_HUMAN,Serine/threonine-protein kinase ULK1 ,ULK1,KIAA0722,Other,1050,"112,631",Serine/threonine-protein kinase ULK1 (EC 2.7.11.1) (Autophagy-related protein 1 homolog) (ATG1) (hATG1) (Unc-51-like kinase 1)
Q8IYT8,ULK2_HUMAN,Serine/threonine-protein kinase ULK2 ,ULK2,KIAA0623,Other,1036,"112,694",Serine/threonine-protein kinase ULK2 (EC 2.7.11.1) (Unc-51-like kinase 2)
Q6PHR2,ULK3_HUMAN,Serine/threonine-protein kinase ULK3 ,ULK3,,Other,472,"53,444",Serine/threonine-protein kinase ULK3 (EC 2.7.11.1) (Unc-51-like kinase 3)
Q96C45,ULK4_HUMAN,Serine/threonine-protein kinase ULK4 ,ULK4,,Other,1275,"142,442",Serine/threonine-protein kinase ULK4 (EC 2.7.11.1) (Unc-51-like kinase 4)
Q99986,VRK1_HUMAN,Serine/threonine-protein kinase VRK1 ,VRK1,,CK1,396,"45,476",Serine/threonine-protein kinase VRK1 (EC 2.7.11.1) (Vaccinia-related kinase 1)
Q86Y07,VRK2_HUMAN,Serine/threonine-protein kinase VRK2 ,VRK2,,CK1,508,"58,141",Serine/threonine-protein kinase VRK2 (EC 2.7.11.1) (Vaccinia-related kinase 2)
P30291,WEE1_HUMAN,Wee1-like protein kinase ,WEE1,,Other,646,"71,597",Wee1-like protein kinase (WEE1hu) (EC 2.7.10.2) (Wee1A kinase)
P0C1S8,WEE2_HUMAN,Wee1-like protein kinase 2 ,WEE2,WEE1B,Other,567,"62,925",Wee1-like protein kinase 2 (EC 2.7.10.2) (Wee1-like protein kinase 1B) (Wee1B kinase)
Q9H4A3,WNK1_HUMAN,Serine/threonine-protein kinase WNK1 ,WNK1,HSN2 KDP KIAA0344 PRKWNK1,Other,2382,"250,794",Serine/threonine-protein kinase WNK1 (EC 2.7.11.1) (Erythrocyte 65 kDa protein) (p65) (Kinase deficient protein) (Protein kinase lysine-deficient 1) (Protein kinase with no lysine 1) (hWNK1)
Q9Y3S1,WNK2_HUMAN,Serine/threonine-protein kinase WNK2 ,WNK2,KIAA1760 PRKWNK2 SDCCAG43,Other,2297,"242,676",Serine/threonine-protein kinase WNK2 (EC 2.7.11.1) (Antigen NY-CO-43) (Protein kinase lysine-deficient 2) (Protein kinase with no lysine 2) (Serologically defined colon cancer antigen 43)
Q9BYP7,WNK3_HUMAN,Serine/threonine-protein kinase WNK3 ,WNK3,KIAA1566 PRKWNK3,Other,1800,"198,416",Serine/threonine-protein kinase WNK3 (EC 2.7.11.1) (Protein kinase lysine-deficient 3) (Protein kinase with no lysine 3)
Q96J92,WNK4_HUMAN,Serine/threonine-protein kinase WNK4 ,WNK4,PRKWNK4,Other,1243,"134,739",Serine/threonine-protein kinase WNK4 (EC 2.7.11.1) (Protein kinase lysine-deficient 4) (Protein kinase with no lysine 4)
O75191,XYLB_HUMAN,Xylulose kinase ,XYLB,,,536,"58,382",Xylulose kinase (Xylulokinase) (EC 2.7.1.17)
P07947,YES_HUMAN,Tyrosine-protein kinase Yes ,YES1,YES,TK,543,"60,801",Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)
P43403,ZAP70_HUMAN,Tyrosine-protein kinase ZAP-70 ,ZAP70,SRK,TK,619,"69,872",Tyrosine-protein kinase ZAP-70 (EC 2.7.10.2) (70 kDa zeta-chain associated protein) (Syk-related tyrosine kinase)
